KAWASAN,BAHAGIAN PILIHAN RAYA,latitude,longitude,felda,luarbandar,zon,bumip,bn
JOHOR,P. 140 - SEGAMAT,2.5035,102.8208,1,0,3,0,1
JOHOR,P. 141 - SEKIJANG,2.5601,102.9312,1,0,3,1,1
JOHOR,P. 142 - LABIS,2.3823,103.0201,1,0,3,0,1
JOHOR,P. 143 - PAGOH,2.1492,102.7722,1,0,3,1,1
JOHOR,P. 144 - LEDANG,2.3434,102.5987,1,0,3,1,1
JOHOR,P. 145 - BAKRI,,,0,1,3,0,1
JOHOR,P. 146 - MUAR,,,0,1,3,1,1
JOHOR,P. 147 - PARIT SULONG,,,0,0,3,1,0
JOHOR,P. 148 - AYER HITAM,,,0,0,3,1,0
JOHOR,P. 149 - SRI GADING,,,0,0,3,1,1
JOHOR,P. 150 - BATU PAHAT,,,0,1,3,1,1
JOHOR,P. 151 - SIMPANG RENGGAM,1.8273,103.31,1,0,3,1,1
JOHOR,P. 152 - KLUANG,,,0,1,3,0,1
JOHOR,P. 153 - SEMBRONG,2.5091,103.4049,1,0,3,1,0
JOHOR,P. 154 - MERSING,2.4309,103.8361,1,0,3,0,0
JOHOR,P. 155 - TENGGARA,2.218,115.6628,1,0,3,0,0
JOHOR,P. 156 - KOTA TINGGI,1.7294,103.8992,1,0,3,1,0
JOHOR,P. 157 - PENGERANG,1.3647,104.1111,1,0,3,1,0
JOHOR,P. 158 - TEBRAU,1.5714,103.7521,1,1,3,0,1
JOHOR,P. 159 - PASIR GUDANG,,,0,1,3,1,1
JOHOR,P. 160 - JOHOR BAHRU,,,0,2,3,1,1
JOHOR,P. 161 - PULAI,,,0,2,3,0,1
JOHOR,P. 162 - ISKANDAR PUTERI,,,0,1,3,0,1
JOHOR,P. 163 - KULAI,1.663,103.5999,1,1,3,0,1
JOHOR,P. 164 - PONTIAN,,,0,0,3,1,0
JOHOR,P. 165 - TANJUNG PIAI,,,0,0,3,1,1
KEDAH,P. 004 - LANGKAWI,,,0,0,0,1,1
KEDAH,P. 005 - JERLUN,,,0,0,0,1,1
KEDAH,P. 006 - KUBANG PASU,6.3726,100.437,1,1,0,1,1
KEDAH,P. 007 - PADANG TERAP,6.2568,100.611,1,0,0,1,0
KEDAH,P. 008 - POKOK SENA,,,0,0,0,1,1
KEDAH,P. 009 - ALOR SETAR,,,0,2,0,1,1
KEDAH,P. 010 - KUALA KEDAH,,,0,0,0,1,1
KEDAH,P. 011 - PENDANG,5.993,100.4773,1,0,0,1,1
KEDAH,P. 012 - JERAI,,,0,0,0,1,1
KEDAH,P. 013 - SIK,5.8183,100.743,1,0,0,1,1
KEDAH,P. 014 - MERBOK,,,0,1,0,1,1
KEDAH,P. 015 - SUNGAI PETANI,,,0,1,0,1,1
KEDAH,P. 016 - BALING,5.6755,100.9168,1,0,0,1,0
KEDAH,P. 017 - PADANG SERAI,,,0,1,0,1,1
KEDAH,P. 018 - KULIM-BANDAR BAHARU,5.3717,100.5553,1,1,0,1,1
KELANTAN,P. 019 - TUMPAT,,,0,0,1,1,1
KELANTAN,P. 020 - PENGKALAN CHEPA,,,0,1,1,1,1
KELANTAN,P. 021 - KOTA BHARU,,,0,2,1,1,1
KELANTAN,P. 022 - PASIR MAS,,,0,0,1,1,1
KELANTAN,P. 023 - RANTAU PANJANG,,,0,0,1,1,1
KELANTAN,P. 024 - KUBANG KERIAN,,,0,1,1,1,1
KELANTAN,P. 025 - BACHOK,,,0,0,1,1,1
KELANTAN,P. 026 - KETEREH,,,0,0,1,1,0
KELANTAN,P. 027 - TANAH MERAH,5.8089,102.1471,1,0,1,1,0
KELANTAN,P. 028 - PASIR PUTEH,,,0,0,1,1,1
KELANTAN,P. 029 - MACHANG,,,0,0,1,1,0
KELANTAN,P. 030 - JELI,,,0,0,1,1,0
KELANTAN,P. 031 - KUALA KRAI,,,0,0,1,1,1
KELANTAN,P. 032 - GUA MUSANG,4.8843,101.9682,1,0,1,1,0
MELAKA,P. 134 - MASJID TANAH,,,0,0,3,1,0
MELAKA,P. 135 - ALOR GAJAH,2.3822,102.2116,1,0,3,1,1
MELAKA,P. 136 - TANGGA BATU,,,0,1,3,1,1
MELAKA,P. 137 - HANG TUAH JAYA,,,0,2,3,1,1
MELAKA,P. 138 - KOTA MELAKA,,,0,2,3,1,1
MELAKA,P. 139 - JASIN,2.3113,102.4309,1,0,3,1,0
NEGERI SEMBILAN,P. 126 - JELEBU,2.9411,102.0719,1,0,3,1,0
NEGERI SEMBILAN,P. 127 - JEMPOL,2.8966,102.4055,1,0,3,1,0
NEGERI SEMBILAN,P. 128 - SEREMBAN,,,0,2,3,0,1
NEGERI SEMBILAN,P. 129 - KUALA PILAH,2.7405,102.2489,1,1,3,1,1
NEGERI SEMBILAN,P. 130 - RASAH,,,0,2,3,0,1
NEGERI SEMBILAN,P. 131 - REMBAU,,,0,1,3,1,0
NEGERI SEMBILAN,P. 132 - PORT DICKSON,,,0,1,3,0,1
NEGERI SEMBILAN,P. 133 - TAMPIN,2.473,102.2312,1,0,3,1,1
PAHANG,P. 078 - CAMERON HIGHLANDS,4.4721,101.3801,1,0,1,1,0
PAHANG,P. 079 - LIPIS,4.1843,102.0542,1,0,1,1,0
PAHANG,P. 080 - RAUB,3.7935,101.8575,1,0,1,1,1
PAHANG,P. 081 - JERANTUT,3.9374,102.632,1,0,1,1,0
PAHANG,P. 082 - INDERA MAHKOTA,,,0,1,1,1,1
PAHANG,P. 083 - KUANTAN,,,0,2,1,1,1
PAHANG,P. 084 - PAYA BESAR,3.7765,103.2746,1,0,1,1,0
PAHANG,P. 085 - PEKAN,3.4921,103.3895,1,0,1,1,0
PAHANG,P. 086 - MARAN,3.5834,102.7791,1,0,1,1,0
PAHANG,P. 087 - KUALA KRAU,3.5671,102.4145,1,0,1,1,0
PAHANG,P. 088 - TEMERLOH,3.4486,102.4163,1,1,1,1,1
PAHANG,P. 089 - BENTONG,3.5222,101.9104,1,0,1,0,1
PAHANG,P. 090 - BERA,3.2647,102.4459,1,0,1,0,0
PAHANG,P. 091 - ROMPIN,2.7945,103.4862,1,0,1,0,0
PERAK,P. 054 - GERIK,5.4168,101.1164,1,0,0,1,0
PERAK,P. 055 - LENGGONG,5.1084,100.968,1,0,0,1,0
PERAK,P. 056 - LARUT,4.8547,100.7436,1,0,0,1,0
PERAK,P. 057 - PARIT BUNTAR,,,0,0,0,1,1
PERAK,P. 058 - BAGAN SERAI,,,0,0,0,1,0
PERAK,P. 059 - BUKIT GANTANG,,,0,0,0,1,0
PERAK,P. 060 - TAIPING,,,0,2,0,0,1
PERAK,P. 061 - PADANG RENGAS,,,0,0,0,1,0
PERAK,P. 062 - SUNGAI SIPUT,4.819,101.0737,1,1,0,0,1
