KAWASAN,BAHAGIAN PILIHAN RAYA,Melayu,Cina,India,Sabah,Sarawak ,Orang Asli,Lain2,Kerajaan,PKR,PAS,LAIN-LAIN,BEBAS,BN
JOHOR,P. 140 - SEGAMAT,25502,23742,5580,155,175,51,133,18584,24060,2676,0,0,41.01
JOHOR,P. 141 - SEKIJANG,27117,16648,1812,13,23,81,169,18278,19559,0,0,0,48.31
JOHOR,P. 142 - LABIS,15356,18172,5968,27,19,828,99,13301,16709,2020,0,0,41.53
JOHOR,P. 143 - PAGOH,34096,15433,1928,22,19,175,81,16631,23558,2483,0,0,38.97
JOHOR,P. 144 - LEDANG,43992,30392,3598,49,30,275,157,26040,34706,4668,0,0,39.81
JOHOR,P. 145 - BAKRI,32830,39503,1593,58,57,2,238,15507,38718,7575,0,0,25.09
JOHOR,P. 146 - MUAR,34142,16161,686,40,35,7,171,15388,22341,22341,0,0,25.62
JOHOR,P. 147 - PARIT SULONG,46977,12278,282,22,30,22,144,24481,18140,7148,0,0,49.19
JOHOR,P. 148 - AYER HITAM,26797,17671,1863,11,20,2,126,17076,16773,4975,0,0,43.98
JOHOR,P. 149 - SRI GADING,34138,17449,757,39,21,4,144,18223,21511,4548,0,0,41.15
JOHOR,P. 150 - BATU PAHAT,54463,43089,1297,68,58,108,366,28035,45929,8173,0,0,34.13
JOHOR,P. 151 - SIMPANG RENGGAM,26236,13585,3880,57,42,7,235,14682,18157,2983,0,0,40.99
JOHOR,P. 152 - KLUANG,40585,46285,9283,312,690,41,471,24618,47671,8242,0,0,30.57
JOHOR,P. 153 - SEMBRONG,26633,12889,3836,19,19,578,158,21353,14691,0,0,0,59.24
JOHOR,P. 154 - MERSING,39476,6912,614,224,303,855,148,19806,11347,6215,0,0,53.00
JOHOR,P. 155 - TENGGARA,33541,7337,2997,180,510,249,242,20142,14209,2683,0,0,54.39
JOHOR,P. 156 - KOTA TINGGI,41264,4315,868,27,46,35,141,26407,11786,0,0,0,69.14
JOHOR,P. 157 - PENGERANG,36359,3589,312,73,73,88,87,21829,10412,0,0,0,67.71
JOHOR,P. 158 - TEBRAU,58705,49531,14553,344,837,102,1182,27310,64535,12098,0,0,26.27
JOHOR,P. 159 - PASIR GUDANG,61360,46865,13262,1718,1768,94,1089,36889,61615,6278,0,0,35.21
JOHOR,P. 160 - JOHOR BAHRU,53517,41928,5319,183,254,18,728,30270,50052,0,0,0,37.69
JOHOR,P. 161 - PULAI,52294,42466,11285,329,391,173,704,26523,55447,4332,0,591,30.52
JOHOR,P. 162 - ISKANDAR PUTERI,51137,70099,17826,287,465,297,521,35862,80726,0,0,0,30.76
JOHOR,P. 163 - KULAI,34952,54017,10387,210,185,12,368,22564,55312,6667,0,0,26.69
JOHOR,P. 164 - PONTIAN,38065,16797,577,26,31,41,275,21132,20299,4295,0,0,46.21
JOHOR,P. 165 - TANJUNG PIAI,30456,22367,544,47,45,6,211,20731,21255,2962,0,0,46.12
KEDAH,P. 004 - LANGKAWI,38593,2800,1033,71,60,0,162,10061,18954,5512,0,0,29.14
KEDAH,P. 005 - JERLUN,49935,3703,53,15,13,0,940,12413,18695,12829,0,0,28.25
KEDAH,P. 006 - KUBANG PASU,64273,6338,2573,130,125,5,871,16975,29984,13375,0,0,28.14
KEDAH,P. 007 - PADANG TERAP,43012,594,77,14,16,1,2964,16384,7254,15285,0,0,42.09
KEDAH,P. 008 - POKOK SENA,70958,13449,2136,65,109,2,405,18390,28959,23401,0,0,25.99
KEDAH,P. 009 - ALOR SETAR,51148,25516,3386,41,77,1,277,14181,32475,17275,0,0,22.18
KEDAH,P. 010 - KUALA KEDAH,76553,19921,1095,26,36,0,294,19400,36624,23143,0,0,24.51
KEDAH,P. 011 - PENDANG,66557,3789,405,21,22,5,4171,20728,14901,26536,0,81,33.30
KEDAH,P. 012 - JERAI,64229,10868,4748,19,33,1,211,21773,21651,22312,0,0,33.12
KEDAH,P. 013 - SIK,46770,729,83,23,18,5,2665,14870,6970,20088,0,0,35.47
KEDAH,P. 014 - MERBOK,60635,13377,13566,147,349,8,410,20830,30902,19618,0,0,29.19
